All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    assembly_l_ferriphilum_03_30.contigs
# contigs (>= 0 bp)         2                                   
# contigs (>= 1000 bp)      2                                   
# contigs (>= 5000 bp)      2                                   
# contigs (>= 10000 bp)     2                                   
# contigs (>= 25000 bp)     1                                   
# contigs (>= 50000 bp)     1                                   
Total length (>= 0 bp)      2583763                             
Total length (>= 1000 bp)   2583763                             
Total length (>= 5000 bp)   2583763                             
Total length (>= 10000 bp)  2583763                             
Total length (>= 25000 bp)  2562976                             
Total length (>= 50000 bp)  2562976                             
# contigs                   2                                   
Largest contig              2562976                             
Total length                2583763                             
GC (%)                      54.22                               
N50                         2562976                             
N75                         2562976                             
L50                         1                                   
L75                         1                                   
# N's per 100 kbp           0.00                                
